code,uh_name,bh_esc,bh_month,bh_pc,bh_er,bh_rh,bh_qd
1394,Cuenca Tumbes,Observado,1,107.7222222,31.4940105,34.65572299,62.12648459
1394,Cuenca Tumbes,Observado,2,181.995216,50.79586504,66.03660634,138.4618328
1394,Cuenca Tumbes,Observado,3,227.9540123,79.12816056,98.19603302,190.2170448
1394,Cuenca Tumbes,Observado,4,199.0138889,66.46601284,111.6684309,224.7579046
1394,Cuenca Tumbes,Observado,5,38.98425926,23.4930095,74.63565556,157.276371
1394,Cuenca Tumbes,Observado,6,8.394444444,7.102611173,46.13475397,102.0334
1394,Cuenca Tumbes,Observado,7,1.109876543,1.892803067,33.3169064,69.61576075
1394,Cuenca Tumbes,Observado,8,0.621296296,0.926561151,23.71103227,48.08503172
1394,Cuenca Tumbes,Observado,9,2.068364198,2.102073301,16.64104744,33.75869834
1394,Cuenca Tumbes,Observado,10,13.3933642,10.54934587,13.39739608,25.29817793
1394,Cuenca Tumbes,Observado,11,28.13101852,16.23731636,12.87499631,23.61282816
1394,Cuenca Tumbes,Observado,12,42.46388889,19.50354305,15.03674472,26.17583814
4964,Cuenca Tarau,Observado,1,238.9074074,58.21696759,114.0749074,96.64176344
4964,Cuenca Tarau,Observado,2,242.6444444,59.13560185,130.8206944,122.0297729
4964,Cuenca Tarau,Observado,3,202.9726852,92.77057604,137.210463,118.0767204
4964,Cuenca Tarau,Observado,4,150.1236111,74.17891444,119.9300463,97.00925926
4964,Cuenca Tarau,Observado,5,38.38101852,28.86617765,88.14805556,65.30874194
4964,Cuenca Tarau,Observado,6,34.65833333,18.29967176,54.63718981,42.30286944
4964,Cuenca Tarau,Observado,7,14.83611111,13.90287546,38.72883796,30.67035932
4964,Cuenca Tarau,Observado,8,26.90277778,19.83110602,26.76332407,21.07129749
4964,Cuenca Tarau,Observado,9,47.87638889,33.12900694,20.87059259,17.50810278
4964,Cuenca Tarau,Observado,10,135.5273148,52.79139028,28.8689213,21.85349821
4964,Cuenca Tarau,Observado,11,182.7606481,54.00862963,58.599125,50.79121944
4964,Cuenca Tarau,Observado,12,183.0481481,56.47816204,85.96686111,76.75188082
4969,Int Alto Yurúa,Observado,1,307.1061594,58.0513901,136.4423792,458.3320968
